event_id,timestamp,username,experiment_label,credential_result,ml_score,profile_score,combined_score,ml_available,decision,risk_level
EVT-A0B7A09F,2026-08-24T17:58:16.851906,Radhika,genuine,True,0.3250,0.8087,0.5668,True,ALLOW,LOW
EVT-A67CF728,2026-08-24T17:58:21.935383,Radhika,genuine,True,0.4250,0.9370,0.6810,True,ALLOW,LOW
EVT-7F46C1BC,2026-08-24T17:58:27.393863,Radhika,genuine,True,0.7350,0.9238,0.8294,True,ALLOW,LOW
EVT-F1C5D55B,2026-08-24T17:58:33.852299,Radhika,genuine,True,0.3250,0.7947,0.5598,True,ALLOW,LOW
EVT-3E2E77EE,2026-08-24T17:58:39.841575,Radhika,genuine,True,0.2350,0.7857,0.5103,True,VERIFY,MEDIUM
EVT-D07376B3,2026-08-24T17:59:01.324106,Geetika,impostor,True,0.6300,0.4074,0.5187,True,VERIFY,MEDIUM
EVT-5823AF43,2026-08-24T17:59:12.157767,Varun,impostor,True,0.5500,0.8258,0.6879,True,ALLOW,LOW
EVT-D0FA12BA,2026-08-24T17:59:30.329571,Varun,impostor,False,,,,False,BLOCK,HIGH
EVT-A03E0A4B,2026-08-24T18:00:48.062762,Radhika,genuine,True,0.3200,0.7769,0.5484,True,VERIFY,MEDIUM
